iter	Logloss
173	0.5725038383
174	0.5724492604
175	0.5724098443
176	0.5723594039
177	0.5722903793
178	0.5722502035
179	0.5721953398
180	0.5721329791
181	0.5720833115
182	0.5720347277
183	0.5719988132
184	0.5719349474
185	0.5718795717
186	0.5718149834
187	0.5717527049
188	0.5716706023
189	0.5716077551
190	0.5715729199
191	0.57152721
192	0.5714686615
193	0.5714188331
194	0.5713592757
195	0.571295727
196	0.5712448588
197	0.571197395
198	0.571148509
199	0.5711038668
200	0.5710582877
201	0.5710120459
202	0.5709463693
203	0.5708845922
204	0.5708337562
205	0.5707963962
206	0.5707507174
207	0.5707000925
208	0.5706430768
209	0.5705914333
210	0.5705446501
211	0.5704931415
212	0.5704492984
213	0.5703945652
214	0.5703117019
215	0.5702615164
216	0.570227463
217	0.5701822885
218	0.5701190014
219	0.5700591988
220	0.5700019739
221	0.569947537
222	0.5699020041
223	0.5698533386
224	0.5697986171
225	0.569739863
226	0.5696964744
227	0.569643899
228	0.5695938676
229	0.5695415585
230	0.5694904174
231	0.5694263644
232	0.5693791954
233	0.569327036
234	0.5692715757
235	0.5692373607
236	0.5691812054
237	0.5691220736
238	0.5690545261
239	0.5689955502
240	0.5689657371
241	0.5689141966
242	0.5688721067
243	0.5688368489
244	0.5687874714
245	0.5687330927
246	0.5686884256
247	0.5686439566
248	0.5685914199
249	0.5685579944
250	0.5685134785
251	0.5684696859
252	0.5684153025
253	0.5683585861
254	0.5683189572
255	0.568283571
256	0.5682452841
257	0.5681733744
258	0.5681310494
259	0.5680861838
260	0.5680268398
261	0.5679825184
262	0.567930974
263	0.5679012472
264	0.567864391
265	0.567819155
266	0.5677817548
267	0.5677386907
268	0.5676955579
269	0.5676629146
270	0.5676264647
271	0.5675865974
272	0.5675408513
273	0.5674958584
274	0.5674423122
275	0.5674029248
276	0.567360262
277	0.5673146972
278	0.5672665794
279	0.5672243733
280	0.5671836055
281	0.5671515389
282	0.5670907905
283	0.5670336484
284	0.5670090577
285	0.5669436654
286	0.5668999527
287	0.5668541731
288	0.5668071206
289	0.5667469224
290	0.566709224
291	0.566664346
292	0.5666225783
293	0.5665791349
294	0.5665328215
295	0.5664797074
296	0.5664431336
297	0.5664023621
298	0.5663471516
299	0.5663027403
300	0.5662571761
301	0.5662174183
302	0.566180474
303	0.5661477586
304	0.5660996935
305	0.5660618516
306	0.5660179535
307	0.565985107
308	0.5659378931
309	0.5658893887
310	0.5658485234
311	0.5658075763
312	0.5657818931
313	0.565740284
314	0.5657001031
315	0.5656643728
316	0.5656266837
317	0.5655781987
318	0.5655343676
319	0.5654854417
320	0.5654453068
321	0.5653927827
322	0.5653469268
323	0.5652817604
324	0.5652501545
325	0.5651938385
326	0.5651515461
327	0.5651163535
328	0.565071851
329	0.5650343763
330	0.5650078488
331	0.5649651726
332	0.564923671
333	0.5648937445
334	0.5648596517
335	0.5648175801
336	0.56477223
337	0.5647399716
338	0.5647048981
339	0.5646728293
340	0.5646270053
341	0.5645903525
342	0.5645447067
343	0.5645064974
344	0.56447652
345	0.5644304443
346	0.5643900955
347	0.5643381981
348	0.564301537
349	0.5642531517
350	0.5642117975
351	0.5641719212
352	0.5641291295
353	0.5640919913
354	0.5640423993
355	0.5639929177
356	0.5639481536
357	0.5638956146
358	0.5638573555
359	0.5638308033
360	0.5637945244
361	0.5637519534
362	0.5637062411
363	0.5636640817
364	0.5636209815
365	0.5635765003
366	0.5635193164
367	0.5634865387
368	0.5634541481
369	0.5634180815
370	0.5633865701
371	0.5633558846
372	0.5633131658
373	0.5632695613
374	0.5632222355
375	0.563192268
376	0.563157153
377	0.5631096531
378	0.5630746583
379	0.5630396699
380	0.5629887728
381	0.5629515362
382	0.5629306587
383	0.5628897208
384	0.5628469285
385	0.5627970827
386	0.5627668007
387	0.5627281202
388	0.5626787872
389	0.562634769
390	0.5625944422
391	0.5625581861
392	0.5625190555
393	0.5624751248
394	0.5624284661
395	0.5623972678
396	0.5623501685
397	0.5623197557
398	0.5622755575
399	0.5622352939
400	0.5622043973
401	0.5621610953
402	0.5621165508
403	0.5620768277
404	0.5620402627
405	0.5620072767
406	0.5619772717
407	0.5619484348
408	0.5619169035
409	0.5618713157
410	0.5618373786
411	0.5618122406
412	0.561770552
413	0.5617292492
414	0.5617028388
415	0.5616587856
416	0.5616256069
417	0.561594283
418	0.561565465
419	0.5615238313
420	0.5614879128
421	0.5614564228
422	0.5614086868
423	0.5613637154
424	0.5613220812
425	0.5612879676
426	0.561240514
427	0.5611955946
428	0.5611516993
429	0.5611180039
430	0.5610841305
431	0.5610502541
432	0.5610084793
433	0.5609735056
434	0.5609321897
435	0.5608806047
436	0.560843946
437	0.5608103139
438	0.560759508
439	0.5607229359
440	0.5606983012
441	0.5606752389
442	0.5606374044
443	0.5606078853
444	0.5605787022
445	0.5605442885
446	0.5605071751
447	0.5604689725
448	0.5604277079
449	0.5603875609
450	0.5603438997
451	0.5603000665
452	0.5602574108
453	0.5602202005
454	0.5601876737
455	0.5601490213
456	0.5601193243
457	0.5600853198
458	0.5600282106
459	0.5599962186
460	0.5599606906
461	0.559915977
462	0.5598843499
463	0.5598497359
464	0.5598052247
465	0.5597701533
466	0.5597325945
467	0.5597043316
468	0.559688464
469	0.5596572723
470	0.5596244632
471	0.5595990688
472	0.5595530095
473	0.5595080741
474	0.5594658218
475	0.5594208766
476	0.5593888509
477	0.5593498161
478	0.559315635
479	0.5592803107
480	0.559235427
481	0.5592063909
482	0.559159952
483	0.5591255349
484	0.5590861133
485	0.5590565107
486	0.5590305144
487	0.5589993882
488	0.5589560845
489	0.558919576
490	0.5588902753
491	0.5588564587
492	0.5588256507
493	0.5587925659
494	0.5587433351
495	0.5587060114
496	0.5586764976
497	0.5586330695
498	0.558605517
499	0.5585639425
500	0.5585229532
501	0.5584856753
502	0.5584545214
503	0.5584277072
504	0.5583821876
505	0.5583411285
506	0.5583267531
507	0.5583016277
508	0.5582752407
509	0.5582389747
510	0.5581994334
511	0.558164539
512	0.5581284924
513	0.5581023792
514	0.5580767301
515	0.5580397388
516	0.5580074254
517	0.5579814628
518	0.5579468739
519	0.5579268316
520	0.5578896241
521	0.5578566287
522	0.557826375
523	0.5577863342
524	0.5577490585
525	0.5577140725
526	0.5576759746
527	0.5576410969
528	0.5576091194
529	0.5575727065
530	0.5575396947
531	0.5574999273
532	0.5574699269
533	0.5574277038
534	0.5574013892
535	0.5573639895
536	0.5573224594
537	0.5572903015
538	0.5572745483
539	0.5572440848
540	0.5572106702
541	0.5571688388
542	0.5571318421
543	0.5570997708
544	0.5570823308
545	0.5570568512
546	0.5570371567
547	0.5570046966
548	0.5569732051
549	0.556946721
550	0.5569111465
551	0.556877608
552	0.5568533381
553	0.5568406732
554	0.5568105008
555	0.5567899425
556	0.5567589112
557	0.5567240501
558	0.5566996046
559	0.5566614
560	0.556627353
561	0.5565908875
562	0.5565530516
563	0.5565232411
564	0.5564838501
565	0.5564568574
566	0.5564175902
567	0.556385086
568	0.5563573377
569	0.5563213988
570	0.5562939988
571	0.5562533846
572	0.5562179086
573	0.5561883469
574	0.5561574143
575	0.5561276647
576	0.5560864551
577	0.556069178
578	0.5560419893
579	0.5560014902
580	0.5559669083
581	0.555940917
582	0.5559146789
583	0.5558890394
584	0.5558462982
585	0.555810615
586	0.5557858437
587	0.5557565617
588	0.5557254572
589	0.5556921443
590	0.5556720442
591	0.5556364565
592	0.5555995466
593	0.5555731621
594	0.5555414647
595	0.5555189581
596	0.5554847584
597	0.5554580393
598	0.5554296984
599	0.5554096394
600	0.5553979252
601	0.5553514694
602	0.5553259056
603	0.5552888775
604	0.5552682361
605	0.5552366633
606	0.5552227008
607	0.5551980994
608	0.5551666309
609	0.5551264538
610	0.5551023365
611	0.5550711981
612	0.5550492551
613	0.5550247245
614	0.5549881268
615	0.5549561699
616	0.5549354628
617	0.5549074777
618	0.5548857808
619	0.5548601954
620	0.5548257947
621	0.5548078824
622	0.5547904659
623	0.5547618891
624	0.5547312704
625	0.5546983056
626	0.554661198
627	0.5546297787
628	0.5546041624
629	0.5545741105
630	0.554542814
631	0.5545181896
632	0.5544866152
633	0.5544563637
634	0.5544312993
635	0.554407057
636	0.5543734384
637	0.5543447917
638	0.5543137479
639	0.5542811758
640	0.554249848
641	0.5542076915
642	0.5541763225
643	0.5541404934
644	0.5541085161
645	0.5540713456
646	0.554032951
647	0.5539930069
648	0.553958471
649	0.5539285837
650	0.5539022779
651	0.5538758173
652	0.5538575698
653	0.5538240599
654	0.5538107114
655	0.5537764398
656	0.553737346
657	0.5537072775
658	0.5536889209
659	0.5536586875
660	0.5536213947
661	0.5535880911
662	0.5535689309
663	0.5535510952
664	0.5535275389
665	0.5534944422
666	0.5534648623
667	0.553441199
668	0.5533991952
669	0.5533691055
670	0.5533517689
671	0.553314525
672	0.5532736834
673	0.5532463326
674	0.5532180161
675	0.5531811323
676	0.5531603261
677	0.5531289423
678	0.5530929249
679	0.5530572776
680	0.5530225656
681	0.552998622
682	0.5529656123
683	0.5529492838
684	0.5529303962
685	0.5528878407
686	0.5528491861
687	0.5528130573
688	0.5527794603
689	0.5527589867
690	0.5527378275
691	0.55271556
692	0.5526943359
693	0.5526682673
694	0.5526367866
695	0.5526132718
696	0.5525741513
697	0.5525391361
698	0.5525214841
699	0.5524944514
700	0.5524619725
701	0.5524290078
702	0.5523968655
703	0.552381541
704	0.5523632779
705	0.552340015
706	0.5523100945
707	0.5522875054
708	0.5522615158
709	0.5522334708
710	0.552217497
711	0.5521892382
712	0.5521589309
713	0.5521284367
714	0.5520929817
715	0.5520495185
716	0.5520282679
717	0.5519947089
718	0.5519793131
719	0.5519615718
720	0.5519376444
721	0.5519221512
722	0.5519043024
723	0.5518809198
724	0.5518469013
725	0.551825865
726	0.5518043749
727	0.5517770988
728	0.5517539914
729	0.5517143892
730	0.5516747949
731	0.5516592053
732	0.5516467769
733	0.5516131037
734	0.5515852103
735	0.5515577186
736	0.5515325374
737	0.5514917
738	0.5514505575
739	0.5514125566
740	0.5513853768
741	0.5513636344
742	0.5513365757
743	0.551312064
744	0.5512877425
745	0.5512630238
746	0.5512507021
747	0.5512283277
748	0.5511983991
749	0.5511732015
750	0.5511473844
751	0.5511145081
752	0.5510867545
753	0.5510594056
754	0.5510345017
755	0.5510108234
756	0.5509819184
757	0.5509571496
758	0.5509478106
759	0.5509335838
760	0.5509121963
761	0.5508817888
762	0.5508553847
763	0.5508299249
764	0.5508017123
765	0.5507835306
766	0.5507544232
767	0.5507306352
768	0.5506868725
769	0.5506623047
770	0.5506470646
771	0.5506217369
772	0.5506042187
773	0.5505835794
774	0.5505720962
775	0.5505487806
776	0.5505302937
777	0.5505090493
778	0.5504878999
779	0.5504465537
780	0.5504123217
781	0.5503795566
782	0.5503616874
783	0.5503385665
784	0.5503039331
785	0.5502817615
786	0.5502517134
787	0.5502180853
788	0.5501886304
789	0.5501592607
790	0.5501335481
791	0.5501121523
792	0.5500931213
793	0.5500621351
794	0.5500342644
795	0.5499993463
796	0.5499838879
797	0.5499716699
798	0.5499387464
799	0.5499197454
800	0.5499035921
801	0.5498825772
802	0.5498432435
803	0.5498210734
804	0.5498031402
805	0.549781051
806	0.5497568511
807	0.549718176
808	0.5497008809
809	0.5496740585
810	0.5496541375
811	0.5496267615
812	0.5496050481
813	0.5495727642
814	0.5495533579
815	0.5495280212
816	0.5495054193
817	0.5494799497
818	0.5494463457
819	0.5494320129
820	0.5494107617
821	0.5493911341
822	0.5493655797
823	0.5493311132
824	0.5493080555
825	0.5492889929
826	0.5492645118
827	0.5492414506
828	0.5491980134
829	0.5491676294
830	0.5491394901
831	0.5491222348
832	0.5490951454
833	0.5490693634
834	0.5490351908
835	0.5490037352
836	0.5489782466
837	0.5489418505
838	0.5489020982
839	0.5488851669
840	0.5488646733
841	0.5488421992
842	0.548827154
843	0.5487991482
844	0.5487684806
845	0.5487403896
846	0.5487127938
847	0.548702578
848	0.5486856466
849	0.5486588316
850	0.5486385875
851	0.5486034279
852	0.548567388
853	0.548537901
854	0.5485154804
855	0.5484994955
856	0.5484699723
857	0.5484424222
858	0.5484078145
859	0.5483798222
860	0.5483607833
861	0.5483382918
862	0.5483166437
863	0.5482920792
864	0.5482680545
865	0.5482390128
866	0.5482110836
867	0.5481740122
868	0.5481465574
869	0.5481307203
870	0.5481018457
871	0.5480727608
872	0.5480524354
873	0.5480281053
874	0.5479940389
875	0.5479678969
876	0.5479408641
877	0.5479219184
878	0.5478887001
879	0.5478689405
880	0.5478467944
881	0.547817184
882	0.5478015721
883	0.5477710831
884	0.5477442506
885	0.5477084772
886	0.5476923498
887	0.547659572
888	0.5476355954
889	0.5475983564
890	0.5475838109
891	0.5475596623
892	0.5475388184
893	0.5475053384
894	0.5474857361
895	0.5474646469
896	0.5474403408
897	0.5474181912
898	0.547382774
899	0.5473546057
900	0.5473260756
901	0.5473006915
902	0.547279004
903	0.5472605537
904	0.5472259701
905	0.5471898466
906	0.5471538704
907	0.5471325267
908	0.5471052831
909	0.5470808303
910	0.5470599135
911	0.5470346553
912	0.5470120839
913	0.5469834402
914	0.546957914
915	0.5469311649
916	0.5469081208
917	0.5468872819
918	0.5468684311
919	0.5468502983
920	0.5468358377
921	0.5468148468
922	0.5467853396
923	0.5467496833
924	0.5467189908
925	0.5467037454
926	0.5466815794
927	0.5466609808
928	0.5466341805
929	0.54660029
930	0.5465785782
931	0.5465598168
932	0.5465463977
933	0.5465172172
934	0.5464952765
935	0.5464727554
936	0.5464446534
937	0.546424278
938	0.546401092
939	0.5463752207
940	0.5463477387
941	0.5463269253
942	0.5462985335
943	0.5462747734
944	0.5462564699
945	0.5462399118
946	0.5462163343
947	0.5461980847
948	0.5461754546
949	0.5461373604
950	0.5461209788
951	0.5460978092
952	0.5460763921
953	0.5460475234
954	0.5460152162
955	0.5459778838
956	0.5459469606
957	0.5459253144
958	0.5458885985
959	0.5458720205
960	0.5458477649
961	0.5458112117
962	0.5457997684
963	0.545781574
964	0.545760877
965	0.5457399386
966	0.5457125429
967	0.5456922457
968	0.5456676296
969	0.5456540706
970	0.5456333011
971	0.545605063
972	0.5455774366
973	0.5455604057
974	0.5455437974
975	0.5455144716
976	0.54548762
977	0.5454698391
978	0.5454437231
979	0.545421189
980	0.5453905508
981	0.5453600661
982	0.5453404274
983	0.5453219384
984	0.5453046772
985	0.5452851496
986	0.5452635182
987	0.5452483175
988	0.5452362058
989	0.5452183228
990	0.5451946792
991	0.5451777745
992	0.5451548381
993	0.5451377026
994	0.5451162865
995	0.5450966848
996	0.5450695287
997	0.5450410127
998	0.545015455
999	0.5449843533
965
999	0.545642358
